name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Montpelier,44.26,-72.576,2025-07-06,85.1,67.8,13.6,0.0,72
Montpelier,44.26,-72.576,2025-07-07,89.9,72.8,11.2,0.19,73
Montpelier,44.26,-72.576,2025-07-08,69.6,64.7,6.3,0.89,94
Montpelier,44.26,-72.576,2025-07-09,71.1,59.9,4.9,0.0,89
Montpelier,44.26,-72.576,2025-07-10,76.0,62.9,8.5,0.0,90
Montpelier,44.26,-72.576,2025-07-11,79.1,62.4,4.3,0.33,85
Montpelier,44.26,-72.576,2025-07-12,79.3,65.8,7.6,0.13,91
Montpelier,44.26,-72.576,2025-07-13,77.2,66.7,8.7,0.0,91
Montpelier,44.26,-72.576,2025-07-14,77.2,66.9,4.9,5.7,91
Montpelier,44.26,-72.576,2025-07-15,85.4,68.1,7.6,0.0,81
Montpelier,44.26,-72.576,2025-07-16,89.0,66.3,7.4,0.0,72
Montpelier,44.26,-72.576,2025-07-17,84.8,71.1,11.4,0.2,84
Montpelier,44.26,-72.576,2025-07-18,72.5,52.3,10.3,0.07,74
Montpelier,44.26,-72.576,2025-07-19,81.2,52.3,8.1,0.0,61
Montpelier,44.26,-72.576,2025-07-20,73.1,61.1,8.1,4.94,85
Montpelier,44.26,-72.576,2025-07-21,65.1,53.9,12.8,0.22,74
Montpelier,44.26,-72.576,2025-07-22,66.7,47.5,6.9,0.0,66
Montpelier,44.26,-72.576,2025-07-23,76.4,53.5,5.6,0.0,64
Montpelier,44.26,-72.576,2025-07-24,86.7,61.1,12.5,0.0,73
Montpelier,44.26,-72.576,2025-07-25,81.5,66.2,8.7,0.32,84
Montpelier,44.26,-72.576,2025-07-26,78.4,59.1,5.8,0.0,68
Montpelier,44.26,-72.576,2025-07-27,76.1,67.7,6.5,0.0,77
Montpelier,44.26,-72.576,2025-07-28,81.8,68.0,8.5,0.0,71
Montpelier,44.26,-72.576,2025-07-29,87.8,67.4,10.1,0.44,77
Montpelier,44.26,-72.576,2025-07-30,85.3,57.4,8.5,0.19,81
Montpelier,44.26,-72.576,2025-07-31,71.2,57.4,4.7,0.0,64
Montpelier,44.26,-72.576,2025-08-01,65.7,53.8,11.0,0.0,74
Montpelier,44.26,-72.576,2025-08-02,76.8,49.6,7.2,0.0,62
Montpelier,44.26,-72.576,2025-08-03,82.4,58.3,9.2,0.0,63
Montpelier,44.26,-72.576,2025-08-04,79.3,61.9,8.5,0.0,68
Albany,42.653,-73.757,2025-07-06,91.3,70.0,11.6,0.0,65
Albany,42.653,-73.757,2025-07-07,92.0,73.4,8.5,0.15,71
Albany,42.653,-73.757,2025-07-08,85.9,72.8,6.3,0.0,79
Albany,42.653,-73.757,2025-07-09,83.9,67.8,4.9,0.0,74
Albany,42.653,-73.757,2025-07-10,85.9,66.8,8.3,0.0,81
Albany,42.653,-73.757,2025-07-11,84.1,70.9,5.4,0.0,80
Albany,42.653,-73.757,2025-07-12,83.7,72.0,8.3,0.14,85
Albany,42.653,-73.757,2025-07-13,87.5,68.1,10.7,0.0,80
Albany,42.653,-73.757,2025-07-14,81.8,71.0,10.1,0.0,85
Albany,42.653,-73.757,2025-07-15,89.9,70.1,4.7,0.0,77
