name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Columbus,39.961,-82.999,2025-07-06,93.1,72.9,10.5,0.0,66
Columbus,39.961,-82.999,2025-07-07,90.1,74.0,8.9,0.16,80
Columbus,39.961,-82.999,2025-07-08,87.8,69.2,4.5,0.0,71
Columbus,39.961,-82.999,2025-07-09,87.1,66.9,6.9,0.0,77
Columbus,39.961,-82.999,2025-07-10,84.0,69.3,8.3,0.35,80
Columbus,39.961,-82.999,2025-07-11,91.3,71.6,6.5,0.0,72
Columbus,39.961,-82.999,2025-07-12,89.1,72.4,10.3,2.68,83
Columbus,39.961,-82.999,2025-07-13,89.4,74.4,9.6,0.0,76
Columbus,39.961,-82.999,2025-07-14,83.6,76.1,4.7,0.52,84
Columbus,39.961,-82.999,2025-07-15,91.8,70.4,4.3,0.0,79
Columbus,39.961,-82.999,2025-07-16,81.8,74.6,10.7,1.91,91
Columbus,39.961,-82.999,2025-07-17,90.2,72.3,11.4,4.55,89
Columbus,39.961,-82.999,2025-07-18,84.8,72.6,6.0,0.0,79
Columbus,39.961,-82.999,2025-07-19,83.3,70.8,8.3,0.65,91
Columbus,39.961,-82.999,2025-07-20,84.0,72.2,8.3,2.18,84
Columbus,39.961,-82.999,2025-07-21,77.7,70.5,9.2,0.0,78
Columbus,39.961,-82.999,2025-07-22,84.5,58.7,6.3,0.0,65
Columbus,39.961,-82.999,2025-07-23,92.3,64.0,4.9,0.0,72
Columbus,39.961,-82.999,2025-07-24,93.2,65.8,8.7,0.0,77
Columbus,39.961,-82.999,2025-07-25,89.6,75.9,8.9,0.22,79
Columbus,39.961,-82.999,2025-07-26,91.2,75.7,8.7,0.0,82
Columbus,39.961,-82.999,2025-07-27,88.5,75.9,7.6,1.33,84
Columbus,39.961,-82.999,2025-07-28,89.6,74.6,8.1,0.64,83
Columbus,39.961,-82.999,2025-07-29,92.3,76.2,5.6,0.0,78
Columbus,39.961,-82.999,2025-07-30,94.5,70.5,6.5,0.0,79
