name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Honolulu,21.307,-157.858,2025-07-06,79.5,73.6,23.5,0.02,70
Honolulu,21.307,-157.858,2025-07-07,78.7,73.6,23.5,0.02,71
Honolulu,21.307,-157.858,2025-07-08,78.5,73.5,22.6,0.04,72
Honolulu,21.307,-157.858,2025-07-09,79.8,73.1,19.7,0.05,72
Honolulu,21.307,-157.858,2025-07-10,79.3,73.9,20.6,0.06,75
Honolulu,21.307,-157.858,2025-07-11,79.1,73.4,19.0,0.04,72
Honolulu,21.307,-157.858,2025-07-12,81.0,73.3,17.4,0.08,73
Honolulu,21.307,-157.858,2025-07-13,80.6,73.9,16.6,0.03,72
Honolulu,21.307,-157.858,2025-07-14,80.4,74.1,16.1,0.01,70
Honolulu,21.307,-157.858,2025-07-15,80.7,73.4,17.4,0.03,74
Honolulu,21.307,-157.858,2025-07-16,80.2,74.8,21.0,0.01,71
Honolulu,21.307,-157.858,2025-07-17,80.5,74.6,17.7,0.01,69
Honolulu,21.307,-157.858,2025-07-18,81.5,74.3,16.3,0.01,71
Honolulu,21.307,-157.858,2025-07-19,81.5,74.6,17.4,0.01,71
Honolulu,21.307,-157.858,2025-07-20,81.2,74.4,15.4,0.07,73
Honolulu,21.307,-157.858,2025-07-21,79.9,74.6,16.8,0.02,74
Honolulu,21.307,-157.858,2025-07-22,80.8,74.7,17.7,0.02,71
Honolulu,21.307,-157.858,2025-07-23,81.4,74.9,17.7,0.02,72
Honolulu,21.307,-157.858,2025-07-24,80.4,73.8,17.0,0.01,68
Honolulu,21.307,-157.858,2025-07-25,80.4,73.6,14.5,0.01,68
Honolulu,21.307,-157.858,2025-07-26,80.3,73.9,15.2,0.01,68
Honolulu,21.307,-157.858,2025-07-27,81.5,73.0,8.7,0.02,70
Honolulu,21.307,-157.858,2025-07-28,81.5,74.3,9.2,0.05,77
Honolulu,21.307,-157.858,2025-07-29,80.9,74.8,17.2,0.01,73
Honolulu,21.307,-157.858,2025-07-30,81.0,75.2,20.8,0.0,72
Honolulu,21.307,-157.858,2025-07-31,81.3,75.0,20.8,0.0,72
Honolulu,21.307,-157.858,2025-08-01,80.1,74.7,21.3,0.02,74
Honolulu,21.307,-157.858,2025-08-02,81.3,76.1,22.6,0.03,74
Honolulu,21.307,-157.858,2025-08-03,80.6,75.2,21.0,0.02,74
Honolulu,21.307,-157.858,2025-08-04,81.9,75.0,17.4,0.0,70
Charleston,32.776,-79.931,2025-07-06,82.3,76.6,11.4,2.52,87
Charleston,32.776,-79.931,2025-07-07,91.1,78.7,15.0,0.0,79
Charleston,32.776,-79.931,2025-07-08,90.9,79.2,13.2,0.0,79
Charleston,32.776,-79.931,2025-07-09,85.1,77.7,15.4,0.0,80
Charleston,32.776,-79.931,2025-07-10,88.9,78.7,13.2,0.27,76
Charleston,32.776,-79.931,2025-07-11,85.7,77.6,13.9,0.7,85
Charleston,32.776,-79.931,2025-07-12,90.6,77.9,12.8,0.0,80
Charleston,32.776,-79.931,2025-07-13,93.2,77.6,9.2,0.0,83
Charleston,32.776,-79.931,2025-07-14,88.5,77.5,12.3,0.12,86
Charleston,32.776,-79.931,2025-07-15,90.1,79.1,11.4,0.0,77
Charleston,32.776,-79.931,2025-07-16,88.5,79.9,12.8,0.51,77
Charleston,32.776,-79.931,2025-07-17,91.7,80.0,13.0,0.0,83
Charleston,32.776,-79.931,2025-07-18,95.8,78.3,14.1,0.0,80
Charleston,32.776,-79.931,2025-07-19,96.9,80.7,13.6,0.0,69
Charleston,32.776,-79.931,2025-07-20,100.8,82.5,12.8,0.0,62
Charleston,32.776,-79.931,2025-07-21,96.7,82.6,11.0,0.0,66
Charleston,32.776,-79.931,2025-07-22,86.9,78.3,12.3,0.77,78
Charleston,32.776,-79.931,2025-07-23,85.9,79.6,11.4,0.94,85
Charleston,32.776,-79.931,2025-07-24,91.2,79.7,11.9,0.5,78
Charleston,32.776,-79.931,2025-07-25,95.0,79.1,13.6,0.0,79
Charleston,32.776,-79.931,2025-07-26,100.9,79.1,10.7,0.0,66
Charleston,32.776,-79.931,2025-07-27,102.6,81.4,13.2,0.0,65
Charleston,32.776,-79.931,2025-07-28,102.9,85.1,12.1,0.0,61
Charleston,32.776,-79.931,2025-07-29,94.2,79.7,11.4,0.0,76
Charleston,32.776,-79.931,2025-07-30,92.5,82.0,10.5,0.0,80
Charleston,32.776,-79.931,2025-07-31,97.0,81.5,15.9,0.0,76
Charleston,32.776,-79.931,2025-08-01,95.0,82.0,16.6,0.28,77
Charleston,32.776,-79.931,2025-08-02,86.5,76.8,10.7,0.58,82
