name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Lincoln,Nebraska,40.8,-96.667,2025-08-06,94.1,70.7,19.7,0.0,71,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-07,95.9,72.5,15.9,0.0,69,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-08,102.4,73.8,20.1,0.0,63,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-09,85.5,75.0,17.7,0.0,78,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-10,82.4,64.0,15.0,0.21,83,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-11,75.9,66.6,9.4,0.16,87,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-12,90.7,57.9,14.3,0.0,78,300619
Cheyenne,Wyoming,41.14,-104.82,2025-08-06,93.2,55.9,21.7,0.0,22,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-07,92.1,61.2,17.2,0.0,26,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-08,87.4,64.4,21.5,0.0,25,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-09,78.8,60.1,12.3,0.2,62,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-10,72.3,52.3,16.3,0.5,54,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-11,75.0,49.8,10.3,0.0,61,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-12,81.7,53.8,15.0,0.0,49,65704
Jacksonville,Florida,30.332,-81.656,2025-08-06,91.0,76.1,10.5,1.0,86,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-07,87.6,79.3,8.1,0.0,83,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-08,84.6,78.3,10.3,0.61,83,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-09,83.5,75.7,10.1,0.28,87,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-10,86.2,77.7,9.4,0.69,84,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-11,91.2,78.8,11.0,0.0,78,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-12,92.5,79.5,9.6,0.24,77,1009833
Madison,Wisconsin,43.073,-89.401,2025-08-06,86.4,58.6,11.2,0.0,76,285300
Madison,Wisconsin,43.073,-89.401,2025-08-07,80.1,65.5,10.7,0.69,88,285300
Madison,Wisconsin,43.073,-89.401,2025-08-08,86.7,70.2,17.0,0.0,86,285300
Madison,Wisconsin,43.073,-89.401,2025-08-09,95.4,74.3,24.6,0.0,79,285300
Madison,Wisconsin,43.073,-89.401,2025-08-10,76.1,67.5,19.7,1.4,92,285300
Madison,Wisconsin,43.073,-89.401,2025-08-11,78.6,66.9,8.1,0.76,92,285300
Madison,Wisconsin,43.073,-89.401,2025-08-12,80.1,68.0,9.4,0.52,90,285300
Bismarck,North Dakota,46.808,-100.783,2025-08-06,89.8,66.0,8.3,0.0,60,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-07,94.3,69.4,16.6,1.44,69,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-08,69.3,63.3,15.0,2.53,90,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-09,77.7,57.9,21.9,0.0,64,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-10,81.9,57.7,13.2,0.0,63,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-11,88.7,64.2,16.1,0.0,51,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-12,79.7,57.2,9.4,0.0,59,77772
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-06,98.1,73.2,18.6,0.0,61,712919
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-07,101.7,75.6,20.1,0.0,56,712919
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-08,102.2,78.4,21.5,0.0,54,712919
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-09,101.8,78.1,20.8,0.0,54,712919
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-10,100.2,77.9,20.8,0.0,53,712919
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-11,96.4,75.0,17.9,0.62,57,712919
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-12,89.1,69.3,9.8,0.11,71,712919
Juneau,Alaska,58.302,-134.42,2025-08-06,61.5,41.4,4.3,0.0,78,31572
Juneau,Alaska,58.302,-134.42,2025-08-07,60.8,44.4,3.8,0.0,82,31572
Juneau,Alaska,58.302,-134.42,2025-08-08,51.6,47.5,4.7,0.42,99,31572
Juneau,Alaska,58.302,-134.42,2025-08-09,51.6,46.0,6.7,1.94,99,31572
Juneau,Alaska,58.302,-134.42,2025-08-10,53.2,48.0,6.7,0.8,99,31572
Juneau,Alaska,58.302,-134.42,2025-08-11,52.7,48.0,6.9,1.59,99,31572
Juneau,Alaska,58.302,-134.42,2025-08-12,59.0,46.9,5.6,0.09,88,31572
Tallahassee,Florida,30.438,-84.281,2025-08-06,87.3,73.6,8.5,0.0,85,205089
Tallahassee,Florida,30.438,-84.281,2025-08-07,87.8,75.0,8.1,0.15,78,205089
Tallahassee,Florida,30.438,-84.281,2025-08-08,87.6,75.7,6.3,0.56,75,205089
Tallahassee,Florida,30.438,-84.281,2025-08-09,85.5,76.1,6.7,0.67,80,205089
Tallahassee,Florida,30.438,-84.281,2025-08-10,82.6,76.8,6.7,0.95,89,205089
Tallahassee,Florida,30.438,-84.281,2025-08-11,83.1,75.2,9.2,0.5,88,205089
Tallahassee,Florida,30.438,-84.281,2025-08-12,92.5,77.7,9.4,0.0,77,205089
Atlanta,Georgia,33.749,-84.388,2025-08-06,78.6,73.2,8.3,0.84,93,520070
Atlanta,Georgia,33.749,-84.388,2025-08-07,84.2,69.3,8.5,0.0,88,520070
Atlanta,Georgia,33.749,-84.388,2025-08-08,76.5,69.3,9.2,0.0,91,520070
Atlanta,Georgia,33.749,-84.388,2025-08-09,84.0,68.0,10.1,0.14,82,520070
Atlanta,Georgia,33.749,-84.388,2025-08-10,82.9,73.4,12.1,0.57,83,520070
Atlanta,Georgia,33.749,-84.388,2025-08-11,79.9,72.5,8.1,0.0,88,520070
Atlanta,Georgia,33.749,-84.388,2025-08-12,85.1,74.5,8.5,0.39,86,520070
Montgomery,Alabama,32.367,-86.3,2025-08-06,89.6,72.0,7.4,0.0,81,195818
Montgomery,Alabama,32.367,-86.3,2025-08-07,91.8,74.7,7.4,0.0,76,195818
Montgomery,Alabama,32.367,-86.3,2025-08-08,90.7,75.2,11.6,0.0,71,195818
Montgomery,Alabama,32.367,-86.3,2025-08-09,90.0,75.0,10.3,0.0,66,195818
