name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Tallahassee,30.438,-84.281,2025-07-06,88.1,77.4,4.5,2.1,77
Tallahassee,30.438,-84.281,2025-07-07,92.1,79.6,10.3,0.34,75
Tallahassee,30.438,-84.281,2025-07-08,89.1,78.3,7.2,1.14,78
Tallahassee,30.438,-84.281,2025-07-09,86.0,80.2,7.4,0.42,81
Tallahassee,30.438,-84.281,2025-07-10,89.3,79.7,9.8,3.4,80
Tallahassee,30.438,-84.281,2025-07-11,90.1,80.6,10.5,0.43,77
Tallahassee,30.438,-84.281,2025-07-12,92.5,77.7,8.7,0.19,76
Tallahassee,30.438,-84.281,2025-07-13,94.9,81.2,5.4,0.0,68
Tallahassee,30.438,-84.281,2025-07-14,96.8,82.4,8.1,0.0,60
Tallahassee,30.438,-84.281,2025-07-15,97.4,80.2,7.2,0.0,64
Tallahassee,30.438,-84.281,2025-07-16,86.3,79.2,10.1,0.74,79
Tallahassee,30.438,-84.281,2025-07-17,90.3,79.3,9.8,0.0,80
Tallahassee,30.438,-84.281,2025-07-18,92.2,77.4,8.9,0.0,77
Tallahassee,30.438,-84.281,2025-07-19,96.9,77.7,10.1,0.0,76
Tallahassee,30.438,-84.281,2025-07-20,98.1,78.5,8.7,0.0,71
Tallahassee,30.438,-84.281,2025-07-21,93.2,81.6,5.8,0.79,70
Tallahassee,30.438,-84.281,2025-07-22,94.1,82.7,11.4,1.44,75
Tallahassee,30.438,-84.281,2025-07-23,90.2,80.1,7.2,1.2,78
Tallahassee,30.438,-84.281,2025-07-24,86.3,77.1,11.0,0.49,85
Tallahassee,30.438,-84.281,2025-07-25,90.5,76.2,9.2,0.17,77
Tallahassee,30.438,-84.281,2025-07-26,94.2,78.5,8.1,0.0,68
Tallahassee,30.438,-84.281,2025-07-27,95.9,80.9,7.6,0.0,64
Tallahassee,30.438,-84.281,2025-07-28,101.0,84.0,6.9,0.0,57
Tallahassee,30.438,-84.281,2025-07-29,97.4,83.7,8.7,0.0,69
