name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Salem,44.943,-123.034,2025-07-06,81.3,48.9,10.1,0.0,66
Salem,44.943,-123.034,2025-07-07,89.8,53.0,7.6,0.0,68
Salem,44.943,-123.034,2025-07-08,87.0,57.3,14.5,0.0,69
Salem,44.943,-123.034,2025-07-09,71.4,57.8,13.0,0.0,79
Salem,44.943,-123.034,2025-07-10,76.6,57.4,9.6,0.0,77
Salem,44.943,-123.034,2025-07-11,89.1,53.1,11.6,0.0,67
Salem,44.943,-123.034,2025-07-12,83.2,54.7,11.6,0.0,71
Salem,44.943,-123.034,2025-07-13,92.0,59.2,14.8,0.0,66
Salem,44.943,-123.034,2025-07-14,81.5,57.4,12.8,0.0,74
Salem,44.943,-123.034,2025-07-15,89.0,55.3,12.5,0.0,62
Salem,44.943,-123.034,2025-07-16,92.8,60.0,13.2,0.0,54
Salem,44.943,-123.034,2025-07-17,86.7,57.0,11.0,0.0,62
Salem,44.943,-123.034,2025-07-18,85.6,51.6,13.9,0.0,69
Salem,44.943,-123.034,2025-07-19,74.0,53.3,11.2,0.0,70
Salem,44.943,-123.034,2025-07-20,67.6,52.5,6.9,0.0,71
Salem,44.943,-123.034,2025-07-21,75.2,57.1,11.2,0.16,74
Salem,44.943,-123.034,2025-07-22,81.6,50.9,9.8,0.0,69
Salem,44.943,-123.034,2025-07-23,88.3,55.4,11.9,0.0,66
Salem,44.943,-123.034,2025-07-24,84.3,55.9,11.4,0.0,72
Salem,44.943,-123.034,2025-07-25,68.8,53.4,11.4,0.0,76
Salem,44.943,-123.034,2025-07-26,67.1,55.1,11.6,0.0,73
Salem,44.943,-123.034,2025-07-27,77.6,57.0,10.3,0.0,63
Salem,44.943,-123.034,2025-07-28,82.4,51.5,9.6,0.0,67
Salem,44.943,-123.034,2025-07-29,90.1,54.4,10.1,0.0,64
Salem,44.943,-123.034,2025-07-30,90.7,57.7,10.3,0.0,63
Salem,44.943,-123.034,2025-07-31,79.9,57.9,8.1,0.0,68
Salem,44.943,-123.034,2025-08-01,73.0,59.5,8.9,0.96,81
Salem,44.943,-123.034,2025-08-02,76.8,57.4,12.3,0.0,79
Salem,44.943,-123.034,2025-08-03,68.4,58.1,11.9,0.0,67
Salem,44.943,-123.034,2025-08-04,72.7,55.9,8.5,0.0,66
Boise,43.614,-116.203,2025-07-06,86.0,61.3,7.6,0.0,33
Boise,43.614,-116.203,2025-07-07,92.0,59.0,10.3,0.0,32
Boise,43.614,-116.203,2025-07-08,98.3,61.9,7.4,0.0,27
Boise,43.614,-116.203,2025-07-09,93.0,66.4,18.3,0.0,28
Boise,43.614,-116.203,2025-07-10,83.0,56.1,16.3,0.12,51
Boise,43.614,-116.203,2025-07-11,85.9,61.5,13.6,0.0,42
Boise,43.614,-116.203,2025-07-12,89.5,61.1,12.3,0.0,36
Boise,43.614,-116.203,2025-07-13,94.6,64.1,14.3,0.0,29
Boise,43.614,-116.203,2025-07-14,96.2,67.2,15.7,0.0,32
Boise,43.614,-116.203,2025-07-15,88.0,68.9,19.7,0.0,35
Boise,43.614,-116.203,2025-07-16,87.1,62.4,9.6,0.0,44
Boise,43.614,-116.203,2025-07-17,94.5,60.8,13.2,0.0,27
Boise,43.614,-116.203,2025-07-18,94.1,66.4,15.0,0.0,30
Boise,43.614,-116.203,2025-07-19,85.2,69.2,15.9,0.0,30
Boise,43.614,-116.203,2025-07-20,85.1,66.0,13.6,0.0,31
Boise,43.614,-116.203,2025-07-21,81.5,66.3,16.1,0.0,37
Boise,43.614,-116.203,2025-07-22,83.5,63.2,10.7,0.0,46
Boise,43.614,-116.203,2025-07-23,88.1,65.8,11.6,0.0,34
Boise,43.614,-116.203,2025-07-24,93.8,62.9,11.0,0.0,26
Boise,43.614,-116.203,2025-07-25,92.8,64.6,12.5,0.0,29
Boise,43.614,-116.203,2025-07-26,89.7,61.6,12.5,0.0,32
Boise,43.614,-116.203,2025-07-27,89.6,65.3,11.0,0.0,36
Boise,43.614,-116.203,2025-07-28,93.2,65.4,20.8,0.0,31
Boise,43.614,-116.203,2025-07-29,94.6,66.7,13.2,0.0,32
Boise,43.614,-116.203,2025-07-30,95.2,66.0,12.3,0.0,33
Boise,43.614,-116.203,2025-07-31,89.1,68.4,16.1,0.0,34
Boise,43.614,-116.203,2025-08-01,88.5,64.8,12.3,0.0,40
Boise,43.614,-116.203,2025-08-02,89.4,65.3,12.5,0.0,43
Boise,43.614,-116.203,2025-08-03,92.1,66.9,21.0,0.0,32
Boise,43.614,-116.203,2025-08-04,81.9,58.3,16.1,0.0,48
