name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Des Moines,41.601,-93.609,2025-07-06,85.2,68.6,9.2,0.5,77
Des Moines,41.601,-93.609,2025-07-07,83.1,69.0,11.4,0.0,78
Des Moines,41.601,-93.609,2025-07-08,78.1,69.3,8.3,0.0,84
Des Moines,41.601,-93.609,2025-07-09,86.5,62.8,7.4,0.0,81
Des Moines,41.601,-93.609,2025-07-10,80.1,70.1,16.8,0.38,88
Des Moines,41.601,-93.609,2025-07-11,89.6,69.3,15.9,0.61,82
Des Moines,41.601,-93.609,2025-07-12,82.4,65.4,10.5,0.0,79
Des Moines,41.601,-93.609,2025-07-13,85.5,69.9,9.8,0.0,76
Des Moines,41.601,-93.609,2025-07-14,89.7,62.9,9.4,0.0,77
Des Moines,41.601,-93.609,2025-07-15,86.7,66.7,9.8,0.0,81
Des Moines,41.601,-93.609,2025-07-16,83.1,71.8,14.3,0.4,86
Des Moines,41.601,-93.609,2025-07-17,69.6,60.4,12.1,0.33,83
Des Moines,41.601,-93.609,2025-07-18,80.2,60.2,10.5,0.0,87
Des Moines,41.601,-93.609,2025-07-19,85.6,74.1,9.2,1.41,88
Des Moines,41.601,-93.609,2025-07-20,85.1,70.7,15.4,1.24,87
Des Moines,41.601,-93.609,2025-07-21,85.4,72.9,12.3,0.0,92
Des Moines,41.601,-93.609,2025-07-22,97.1,77.5,14.8,0.0,77
Des Moines,41.601,-93.609,2025-07-23,98.0,76.3,16.6,0.0,74
Des Moines,41.601,-93.609,2025-07-24,85.7,72.3,8.7,0.36,85
Des Moines,41.601,-93.609,2025-07-25,75.5,71.5,10.5,0.3,98
Des Moines,41.601,-93.609,2025-07-26,83.2,70.6,8.7,1.41,94
Des Moines,41.601,-93.609,2025-07-27,94.3,71.5,14.1,0.0,87
Des Moines,41.601,-93.609,2025-07-28,93.4,76.4,10.1,0.0,85
Des Moines,41.601,-93.609,2025-07-29,96.4,71.7,9.4,0.0,76
Des Moines,41.601,-93.609,2025-07-30,80.6,70.2,17.7,0.94,96
Des Moines,41.601,-93.609,2025-07-31,77.5,63.3,13.0,0.0,84
Des Moines,41.601,-93.609,2025-08-01,79.0,54.9,10.1,0.0,74
Des Moines,41.601,-93.609,2025-08-02,75.9,58.5,8.3,0.0,80
Des Moines,41.601,-93.609,2025-08-03,77.2,56.7,10.3,0.0,76
Des Moines,41.601,-93.609,2025-08-04,78.6,59.4,9.2,0.0,76
Columbia,34.001,-81.035,2025-07-06,88.1,73.7,11.9,1.24,79
Columbia,34.001,-81.035,2025-07-07,92.5,74.7,7.8,0.0,73
