name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Montgomery,32.367,-86.3,2025-07-06,93.9,77.2,5.8,0.0,59
Montgomery,32.367,-86.3,2025-07-07,96.3,78.1,5.6,0.0,66
Montgomery,32.367,-86.3,2025-07-08,95.2,75.4,6.0,0.0,79
Montgomery,32.367,-86.3,2025-07-09,91.7,77.0,6.7,0.21,73
Montgomery,32.367,-86.3,2025-07-10,85.7,75.2,9.6,0.57,88
Montgomery,32.367,-86.3,2025-07-11,91.8,74.5,12.8,0.14,76
Montgomery,32.367,-86.3,2025-07-12,92.0,75.9,6.7,1.72,80
Montgomery,32.367,-86.3,2025-07-13,94.0,78.2,7.6,0.0,69
Montgomery,32.367,-86.3,2025-07-14,98.0,79.2,7.4,0.0,68
Montgomery,32.367,-86.3,2025-07-15,95.1,80.3,8.3,0.0,65
Montgomery,32.367,-86.3,2025-07-16,93.3,80.1,6.5,0.0,71
Montgomery,32.367,-86.3,2025-07-17,91.5,78.5,11.4,0.33,77
Montgomery,32.367,-86.3,2025-07-18,88.4,75.8,9.6,0.77,85
Montgomery,32.367,-86.3,2025-07-19,92.0,76.7,11.9,0.0,75
Montgomery,32.367,-86.3,2025-07-20,94.1,76.7,8.1,0.0,75
Montgomery,32.367,-86.3,2025-07-21,94.0,77.9,12.5,0.0,73
Montgomery,32.367,-86.3,2025-07-22,96.1,81.6,8.5,0.0,66
Montgomery,32.367,-86.3,2025-07-23,87.4,77.0,9.4,0.84,85
Montgomery,32.367,-86.3,2025-07-24,93.1,78.6,10.7,0.0,76
Montgomery,32.367,-86.3,2025-07-25,91.6,77.2,7.6,0.0,74
Montgomery,32.367,-86.3,2025-07-26,93.5,75.9,6.5,0.0,73
Montgomery,32.367,-86.3,2025-07-27,99.1,78.5,6.3,0.0,69
Montgomery,32.367,-86.3,2025-07-28,98.9,80.2,12.1,0.0,63
Montgomery,32.367,-86.3,2025-07-29,97.0,82.0,11.2,0.4,70
Montgomery,32.367,-86.3,2025-07-30,97.0,78.8,9.4,0.05,74
Montgomery,32.367,-86.3,2025-07-31,94.5,79.0,10.3,0.25,77
Montgomery,32.367,-86.3,2025-08-01,94.6,79.7,7.4,0.0,77
Montgomery,32.367,-86.3,2025-08-02,91.2,77.0,8.1,0.97,74
Montgomery,32.367,-86.3,2025-08-03,83.7,75.9,11.9,3.57,86
Montgomery,32.367,-86.3,2025-08-04,72.3,69.4,11.9,2.91,92
Cheyenne,41.14,-104.82,2025-07-06,83.5,53.7,14.1,0.0,63
Cheyenne,41.14,-104.82,2025-07-07,87.6,53.9,16.6,0.0,58
Cheyenne,41.14,-104.82,2025-07-08,84.6,55.6,14.1,0.0,53
Cheyenne,41.14,-104.82,2025-07-09,91.9,56.3,11.6,0.0,26
Cheyenne,41.14,-104.82,2025-07-10,84.0,60.7,31.1,0.0,43
Cheyenne,41.14,-104.82,2025-07-11,77.6,53.2,15.4,0.4,67
Cheyenne,41.14,-104.82,2025-07-12,76.5,54.0,13.6,0.0,71
Cheyenne,41.14,-104.82,2025-07-13,86.6,55.5,12.8,0.0,49
Cheyenne,41.14,-104.82,2025-07-14,90.6,60.8,24.4,0.29,52
Cheyenne,41.14,-104.82,2025-07-15,90.6,60.3,17.4,0.0,38
Cheyenne,41.14,-104.82,2025-07-16,74.6,56.8,14.8,3.4,73
Cheyenne,41.14,-104.82,2025-07-17,80.6,53.9,25.3,0.18,73
Cheyenne,41.14,-104.82,2025-07-18,85.1,64.0,16.1,0.0,42
Cheyenne,41.14,-104.82,2025-07-19,82.5,62.4,12.5,0.0,62
Cheyenne,41.14,-104.82,2025-07-20,90.1,66.0,15.0,0.0,48
Cheyenne,41.14,-104.82,2025-07-21,89.7,58.7,21.9,0.0,39
Cheyenne,41.14,-104.82,2025-07-22,92.4,58.4,20.1,0.33,42
Cheyenne,41.14,-104.82,2025-07-23,81.6,65.7,14.8,0.0,58
Cheyenne,41.14,-104.82,2025-07-24,75.8,53.3,25.3,0.26,84
Cheyenne,41.14,-104.82,2025-07-25,82.7,56.1,16.6,0.0,57
Cheyenne,41.14,-104.82,2025-07-26,88.0,56.0,12.3,0.0,41
Cheyenne,41.14,-104.82,2025-07-27,90.2,57.2,14.1,0.0,25
Cheyenne,41.14,-104.82,2025-07-28,94.1,59.0,19.2,0.0,23
Cheyenne,41.14,-104.82,2025-07-29,82.8,63.8,14.1,0.0,57
Cheyenne,41.14,-104.82,2025-07-30,73.6,59.7,11.9,0.09,83
Cheyenne,41.14,-104.82,2025-07-31,73.8,56.7,21.0,0.33,78
Cheyenne,41.14,-104.82,2025-08-01,82.4,57.9,15.7,0.0,64
Cheyenne,41.14,-104.82,2025-08-02,85.5,52.0,22.4,0.0,58
Cheyenne,41.14,-104.82,2025-08-03,80.2,52.3,13.9,0.0,50
Cheyenne,41.14,-104.82,2025-08-04,87.8,56.3,17.7,0.0,41
Lincoln,40.8,-96.667,2025-07-06,92.4,71.0,12.1,0.0,73
Lincoln,40.8,-96.667,2025-07-07,73.2,68.7,13.0,1.9,85
Lincoln,40.8,-96.667,2025-07-08,86.0,63.1,19.2,1.19,69
