name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Santa Fe,35.687,-105.937,2025-07-06,85.7,58.8,19.7,0.0,46
Santa Fe,35.687,-105.937,2025-07-07,80.6,56.3,17.0,0.0,47
Santa Fe,35.687,-105.937,2025-07-08,84.1,55.4,12.1,0.0,50
Santa Fe,35.687,-105.937,2025-07-09,87.2,57.6,14.5,0.0,38
Santa Fe,35.687,-105.937,2025-07-10,85.0,63.2,23.5,0.0,38
Santa Fe,35.687,-105.937,2025-07-11,87.3,61.9,16.3,0.0,18
Santa Fe,35.687,-105.937,2025-07-12,78.1,53.5,19.0,0.0,49
Santa Fe,35.687,-105.937,2025-07-13,75.8,55.2,20.6,0.31,59
Santa Fe,35.687,-105.937,2025-07-14,77.7,48.7,14.1,0.0,57
Santa Fe,35.687,-105.937,2025-07-15,84.8,55.3,16.1,0.0,44
Santa Fe,35.687,-105.937,2025-07-16,84.2,56.7,11.0,0.0,45
Santa Fe,35.687,-105.937,2025-07-17,79.6,56.5,15.9,0.0,57
Santa Fe,35.687,-105.937,2025-07-18,83.5,58.2,11.2,0.0,51
Santa Fe,35.687,-105.937,2025-07-19,84.0,60.7,16.8,0.0,40
Santa Fe,35.687,-105.937,2025-07-20,86.9,59.1,11.9,0.0,35
Santa Fe,35.687,-105.937,2025-07-21,83.3,63.7,17.7,0.0,41
Santa Fe,35.687,-105.937,2025-07-22,81.8,64.5,12.1,0.0,43
Santa Fe,35.687,-105.937,2025-07-23,81.5,56.4,15.9,0.08,57
Santa Fe,35.687,-105.937,2025-07-24,78.9,55.3,16.1,0.09,57
Santa Fe,35.687,-105.937,2025-07-25,82.9,56.7,14.5,0.0,47
Santa Fe,35.687,-105.937,2025-07-26,83.9,56.8,16.3,0.0,37
Santa Fe,35.687,-105.937,2025-07-27,87.4,59.5,13.6,0.0,19
Santa Fe,35.687,-105.937,2025-07-28,75.1,59.0,18.3,0.0,49
Santa Fe,35.687,-105.937,2025-07-29,81.3,57.6,18.6,0.0,49
Santa Fe,35.687,-105.937,2025-07-30,78.8,57.4,16.1,0.2,67
Santa Fe,35.687,-105.937,2025-07-31,78.4,54.3,12.3,0.33,66
Santa Fe,35.687,-105.937,2025-08-01,76.8,51.3,11.4,2.87,68
Santa Fe,35.687,-105.937,2025-08-02,81.9,54.1,23.7,0.0,55
Santa Fe,35.687,-105.937,2025-08-03,84.0,59.5,14.1,0.0,29
Santa Fe,35.687,-105.937,2025-08-04,85.5,54.3,19.2,0.0,39
Providence,41.824,-71.413,2025-07-06,90.5,65.3,13.0,0.0,71
Providence,41.824,-71.413,2025-07-07,86.1,70.4,13.9,0.0,87
Providence,41.824,-71.413,2025-07-08,88.4,72.8,8.1,2.16,86
Providence,41.824,-71.413,2025-07-09,74.7,67.4,6.3,0.25,88
Providence,41.824,-71.413,2025-07-10,74.6,66.4,6.9,0.0,92
Providence,41.824,-71.413,2025-07-11,80.0,66.4,5.6,0.0,88
Providence,41.824,-71.413,2025-07-12,81.4,69.9,9.4,0.0,88
Providence,41.824,-71.413,2025-07-13,74.6,66.3,9.2,0.0,91
Providence,41.824,-71.413,2025-07-14,81.9,69.9,10.7,0.0,88
Providence,41.824,-71.413,2025-07-15,83.4,70.7,9.8,0.14,87
Providence,41.824,-71.413,2025-07-16,88.0,72.2,11.6,0.0,88
Providence,41.824,-71.413,2025-07-17,80.9,74.3,11.0,0.25,91
Providence,41.824,-71.413,2025-07-18,80.2,71.8,11.0,0.0,64
Providence,41.824,-71.413,2025-07-19,79.5,64.6,12.5,0.0,68
Providence,41.824,-71.413,2025-07-20,80.3,71.4,11.2,0.41,86
Providence,41.824,-71.413,2025-07-21,76.9,68.4,14.3,0.18,61
Providence,41.824,-71.413,2025-07-22,76.4,59.7,7.4,0.0,54
Providence,41.824,-71.413,2025-07-23,79.6,61.7,13.6,0.0,68
Providence,41.824,-71.413,2025-07-24,89.3,65.8,13.9,0.0,70
Providence,41.824,-71.413,2025-07-25,93.2,71.1,10.1,0.54,81
Providence,41.824,-71.413,2025-07-26,82.3,71.4,8.9,0.0,57
Providence,41.824,-71.413,2025-07-27,77.7,66.5,9.4,0.0,76
