name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Harrisburg,40.274,-76.885,2025-07-06,93.6,67.2,9.4,0.0,70
Harrisburg,40.274,-76.885,2025-07-07,92.3,71.6,9.2,0.0,82
Harrisburg,40.274,-76.885,2025-07-08,88.9,73.5,9.8,0.46,78
Harrisburg,40.274,-76.885,2025-07-09,86.8,70.8,7.2,0.0,78
Harrisburg,40.274,-76.885,2025-07-10,79.4,72.0,7.4,0.67,87
Harrisburg,40.274,-76.885,2025-07-11,90.1,70.0,6.9,0.0,75
Harrisburg,40.274,-76.885,2025-07-12,88.4,73.9,6.9,1.79,83
Harrisburg,40.274,-76.885,2025-07-13,85.1,72.0,7.8,0.13,86
Harrisburg,40.274,-76.885,2025-07-14,88.1,73.6,7.2,0.43,82
Harrisburg,40.274,-76.885,2025-07-15,88.6,73.8,5.4,0.0,84
Harrisburg,40.274,-76.885,2025-07-16,83.3,73.8,8.5,0.32,91
Harrisburg,40.274,-76.885,2025-07-17,95.1,74.3,11.6,0.19,78
Harrisburg,40.274,-76.885,2025-07-18,83.8,73.4,9.4,0.0,71
Harrisburg,40.274,-76.885,2025-07-19,71.2,68.2,6.5,0.0,90
Harrisburg,40.274,-76.885,2025-07-20,88.9,73.2,11.6,0.6,78
Harrisburg,40.274,-76.885,2025-07-21,80.5,71.0,11.0,0.0,64
Harrisburg,40.274,-76.885,2025-07-22,76.9,59.8,6.0,0.0,59
Harrisburg,40.274,-76.885,2025-07-23,80.3,65.5,7.6,0.0,74
Harrisburg,40.274,-76.885,2025-07-24,92.6,69.8,8.5,0.0,77
Harrisburg,40.274,-76.885,2025-07-25,93.6,71.6,12.5,0.12,77
Harrisburg,40.274,-76.885,2025-07-26,89.2,73.1,5.4,0.0,69
Harrisburg,40.274,-76.885,2025-07-27,87.3,73.8,9.2,0.79,83
Harrisburg,40.274,-76.885,2025-07-28,91.5,75.0,4.9,0.0,72
Harrisburg,40.274,-76.885,2025-07-29,95.4,69.1,6.0,0.0,74
Harrisburg,40.274,-76.885,2025-07-30,94.8,72.0,8.7,0.0,79
Harrisburg,40.274,-76.885,2025-07-31,83.7,70.0,15.7,1.46,89
Harrisburg,40.274,-76.885,2025-08-01,70.2,63.0,11.2,2.23,91
Harrisburg,40.274,-76.885,2025-08-02,77.7,60.8,8.3,0.0,55
Harrisburg,40.274,-76.885,2025-08-03,85.3,60.3,4.5,0.0,62
